"Date of operation (UTC)","AC registration","Flight ID","ICAO Call sign","AC Type","Flight type","Departing Airport ICAO Code","Departure Time/ Block-off time (UTC)","Destination Airport ICAO Code","Arrival Time/ Block-on Time(UTC)","Uplift Volume (Litres)","Uplift density","Block On (tonnes)","Block Off (tonnes)","UpdatedAt"
"04/04/2020","ADA","0510","BJ",320,"J","LRCV",43925.11666666667,"DTTA",43925.20902777778,11571,0.800000011920929,13457,9000,"2025-05-01T17:00:00.125Z"
"04/04/2020","ADA","0511","BJ",320,"J","",43925.39861111111,"DTTA",43925.5,5803,0.796999990940094,8125,2500,"2025-05-01T17:00:00.125Z"
"05/04/2020","ADA","0756","BJ",320,"J","DTTA",43926.46319444444,"LFQQ",43926.56875,8500,0.792999982833862,9241,3360,"2025-05-01T17:00:00.125Z"
"05/04/2020","ADA","0757","BJ",320,"J","LFQQ",43926.61805555555,"DTTA",43926.72638888889,7157,0.800000011920929,9086,2600,"2025-05-01T17:00:00.125Z"
"30/07/2020","BTL","0776","BJ",320,"P","LIPQ",44042.40277777778,"DTTA",44042.47569444445,3289,0.788999974727631,6455,2640,"2025-05-01T17:00:00.125Z"
"30/07/2020","BTL","0777","BJ",320,"J","LFST",44042.68402777778,"DTTA",44042.76736111111,5318,0.787999987602234,9231,2860,"2025-05-01T17:00:00.125Z"
"05/07/2020","BUT","1492","BJ",320,"P","HEBA",44017.71527777778,"DTMB",44017.84236111111,5420,0.790000021457672,7702,2360,"2025-05-01T17:00:00.125Z"
"06/07/2020","BUT","7492","BJ",320,"C","DTMB",44018.32916666667,"EPWA",44018.45208333333,9300,0.777999997138977,9595,3660,"2025-05-01T17:00:00.125Z"
"06/07/2020","BUT","7493","BJ",320,"C","EPWA",44018.52916666667,"DTMB",44018.6625,7294,0.791999995708466,9437,3200,"2025-05-01T17:00:00.125Z"
"06/07/2020","BUT","7414","BJ",320,"C","DTMB",44018.72361111111,"EPKT",44018.83125,7200,0.77700001001358,8794,3300,"2025-05-01T17:00:00.125Z"
"06/07/2020","BUT","7415","BJ",320,"C","EPKT",44018.86111111111,"DTMB",44018.97361111111,6583,0.790000021457672,8501,3020,"2025-05-01T17:00:00.125Z"
"07/07/2020","BUT","7402","BJ",320,"C","DTMB",44019.49930555555,"EPWR",44019.60694444444,7250,0.778999984264374,8728,3200,"2025-05-01T17:00:00.125Z"
"07/07/2020","BUT","7403","BJ",320,"C","EPWR",44019.65277777778,"DTMB",44019.7625,6793,0.790000021457672,8566,2940,"2025-05-01T17:00:00.125Z"
"08/07/2020","BUT","7430","BJ",320,"C","DTMB",44019.18611111111,"EPPO",44019.29861111111,8100,0.781000018119812,9346,3820,"2025-05-01T17:00:00.125Z"
"08/07/2020","BUT","7431","BJ",320,"C","EPPO",44019.33333333334,"DTMB",44019.45277777778,6584,0.787000000476837,9002,3080,"2025-05-01T17:00:00.125Z"
"08/07/2020","BUT","1431","BJ",320,"P","DTMB",44020.39652777778,"HEBA",44020.50138888889,5900,0.781000018119812,7548,2900,"2025-05-01T17:00:00.125Z"
"26/06/2020","EAB","7633","BJ",320,"C","EPKT",44008.88194444445,"DTTJ",44009.00694444445,10709,0.787000000476837,11528,3800,"2025-05-01T17:00:00.125Z"
"27/06/2020","EAB","7654","BJ",320,"C","DTTJ",44009.12152777778,"EPKT",44009.24097222222,10160,0.779999971389771,11725,3840,"2025-05-01T17:00:00.125Z"
"09/06/2020","EAC","2022","BJ",320,"J","DTTJ",43991.52083333334,"EDDL",43991.64583333334,7800,0.785000026226044,13263,4960,"2025-05-01T17:00:00.125Z"
"09/06/2020","EAC","2023","BJ",320,"J","EDDL",43991.69791666666,"DTTJ",43991.82638888889,7494,0.805000007152557,10993,3320,"2025-05-01T17:00:00.125Z"
"10/06/2020","EAC","7614","BJ",320,"C","DTTJ",43992.09027777778,"EPKT",43992.20833333334,7600,0.785000026226044,9286,3200,"2025-05-01T17:00:00.125Z"
"10/06/2020","EAC","7615","BJ",320,"C","EPKT",43992.25347222222,"DTTJ",43992.38194444445,9686,0.791000008583069,10862,3300,"2025-05-01T17:00:00.125Z"
"10/06/2020","EAC","0770","BJ",320,"J","DTTJ",43992.61458333334,"LFBD",43992.71875,8300,0.779999971389771,9774,4000,"2025-05-01T17:00:00.125Z"
"10/06/2020","EAC","0771","BJ",320,"J","LFBD",43992.78125,"DTTJ",43992.88055555556,6647,0.800000011920929,9318,3300,"2025-05-01T17:00:00.125Z"
"11/06/2020","EAC","2306","BJ",320,"C","DTTJ",43993.12152777778,"LOWW",43993.22569444445,6460,0.785000026226044,8371,3120,"2025-05-01T17:00:00.125Z"
"11/06/2020","EAC","2307","BJ",320,"C","LOWW",43993.27777777778,"DTTJ",43993.39236111111,8804,0.778999984264374,9978,3920,"2025-05-01T17:00:00.125Z"
"11/06/2020","EAC","0712","BJ",320,"J","DTTJ",43993.43402777778,"LFST",43993.53472222222,8250,0.785000026226044,10396,4400,"2025-05-01T17:00:00.125Z"
"11/06/2020","EAC","0713","BJ",320,"J","LFST",43993.58333333334,"DTTJ",43993.69791666666,7050,0.800000011920929,10040,3160,"2025-05-01T17:00:00.125Z"
"13/06/2020","EAC","2340","BJ",320,"C","DTTJ",43995.40486111111,"EDDL",43995.525,9558,0.782999992370605,10644,3280,"2025-05-01T17:00:00.125Z"
"13/06/2020","EAC","2341","BJ",320,"C","EDDL",43995.59097222222,"DTTJ",43995.71111111111,9038,0.805999994277954,10565,3200,"2025-05-01T17:00:00.125Z"
"14/06/2020","EAC","2608","BJ",320,"J","DTTJ",43996.19791666666,"EDDF",43996.31597222222,11680,0.785000026226044,12369,5500,"2025-05-01T17:00:00.125Z"
"14/06/2020","EAC","2609","BJ",320,"J","EDDF",43996.39583333334,"DTTJ",43996.51736111111,5901,0.800000011920929,10221,3300,"2025-05-01T17:00:00.125Z"
"14/06/2020","EAC","0508","BJ",320,"J","DTTJ",43996.58194444444,"",43996.70069444444,9200,0.782999992370605,10504,3480,"2025-05-01T17:00:00.125Z"
"14/06/2020","EAC","0509","BJ",320,"J","",43996.74375,"DTTJ",43996.85972222222,8282,0.791000008583069,10031,3420,"2025-05-01T17:00:00.125Z"
"15/06/2020","EAC","0704","BJ",320,"J","DTTJ",43997.20486111111,"LFRS",43997.32986111111,9200,0.782999992370605,10624,4300,"2025-05-01T17:00:00.125Z"
"15/06/2020","EAC","0705","BJ",320,"J","LFRS",43997.36111111111,"DTTJ",43997.46875,7157,0.796999990940094,10004,3700,"2025-05-01T17:00:00.125Z"
"15/06/2020","EAC","0762","BJ",320,"J","DTTJ",43997.53819444445,"LFQQ",43997.66527777778,9335,0.782000005245209,11000,3860,"2025-05-01T17:00:00.125Z"
"15/06/2020","EAC","0763","BJ",320,"J","LFQQ",43997.70833333334,"DTTJ",43997.83680555555,9015,0.800000011920929,11072,3680,"2025-05-01T17:00:00.125Z"
"16/06/2020","EAC","0134","BJ",320,"J","DTTJ",43998.36805555555,"LFSB",43998.47222222222,7450,0.782000005245209,9506,3400,"2025-05-01T17:00:00.125Z"
