Airport Code,Airport Name,CityName,Airport Country
,,,FRANCE
,CASTANHAL,CASTANHAL,BRAZIL
,KELSTERBACH,KELSTERBACH,GERMANY
,TAWITAWI,TAWITAWI,PHILIPPINES
1016,CHICHEN-ITZA,CHICHEN-ITZA,MEXICO
1028,GUERRERO NEGRO,GUERRERO NEGRO,MEXICO
1051,PALENQUE,PALENQUE,MEXICO
1099,CHITRE,CHITRE,PANAMA
10AK,NUIQSUT,NUIQSUT,UNITED STATES
1120,TINSON PEN,KINGSTON,JAMAICA
1122,KEN JONES,PORT ANTONIO,JAMAICA
1226,CHOS MALAL,CHOS MALAL,ARGENTINA
1316,GENERAL BELGRANO,SALTA,ARGENTINA
1396,PUERTO INIRIDA,OBANDO,COLOMBIA
1575,SALINA CRUZ,SALINA CRUZ,MEXICO
1736,LAS HERAS,LAS HERAS,ARGENTINA
1796,LA LAGUNA,GUANJA,HONDURAS
1803,MIDDLE CAICOS,MIDDLE CAICOS,TURKS AND CAICOS ISLANDS
2005,KIRA KIRA,KIRA KIRA,SOLOMON ISLANDS
2051,KANDRIAN,KANDRIAN,PAPUA NEW GUINEA
2052,SEHULEA,SEHULEA,PAPUA NEW GUINEA
2055,WANIGELA,WANIGELA,PAPUA NEW GUINEA
2060,TARI,TARI,PAPUA NEW GUINEA
40A,ATKA,ATKA,UNITED STATES
49J,HILTON HEAD,HILTON HEAD I,UNITED STATES
4Z4,HOLY CROSS,HOLY CROSS,UNITED STATES
5WW,WAINWRIGHT,WAINWRIGHT,UNITED STATES
6026,MKOKONI,KIWAYU,KENYA
6100,MARA SERENA,MARA SERENA,KENYA
6104,MEKANE SALAM,MEKANE SALAM,ETHIOPIA
69E,EGEGIK,EGEGIK,UNITED STATES
74S,ANACORTES,ANACORTES,UNITED STATES
76S,OAK HARBOR,OAK HARBOR,UNITED STATES
9Z1,KLAWOCK,KLAWOCK,UNITED STATES
ABCD,KIMPO INTL,SEOUL,"KOREA, REPUBLIC"
AET,ALLAKAKET,ALLAKAKET,UNITED STATES
AGGH,HENDERSON,HONIARA,SOLOMON ISLANDS
AGGM,MUNDA,MUNDA,SOLOMON ISLANDS
AGGN,NUSATUPE,GIZO,SOLOMON ISLANDS
AJ4,ANAHIM LAKE,ANAHIM LAKE,CANADA
AKK,AKHIOK,AKHIOK,UNITED STATES
AKP,ANAKTUVUK PASS,ANAKTUVUK PASS,UNITED STATES
ALVT,,,SWEDEN
ANAU,NAURU INTL,"NAURU I, NAURU",NAURU
ANI,ANIAK,ANIAK,UNITED STATES
ARC,ARCTIC VILLAGE,ARCTIC VILLAGE,UNITED STATES
AYGA,GOROKA,GOROKA,PAPUA NEW GUINEA
AYMD,MADANG,MADANG,PAPUA NEW GUINEA
AYMH,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA
AYNZ,NADZAB,NADZAB,PAPUA NEW GUINEA
AYPY,JACKSONS,PORT MORESBY,PAPUA NEW GUINEA
AYRB,RABAUL,RABAUL,PAPUA NEW GUINEA
AYWK,WEWAK,WEWAK,PAPUA NEW GUINEA
BBXX,,,SWEDEN
BGBW,NARSARSUAQ,NARSARSUAQ,GREENLAND
BGCO,NEERLERIT INAAT,NEERLERIT INAAT,GREENLAND
BGGH,NUUK,NUUK,GREENLAND
BGKK,KULUSUK,KULUSUK,GREENLAND
BGSF,SONDRE STROMFJORD,SONDRE STROMFJORD,GREENLAND
BGTL,THULE AB,THULE,GREENLAND
BIA,BIALA,BIALA,PAPUA NEW GUINEA
BIAR,AKUREYRI,AKUREYRI,ICELAND
BIEG,EGILSSTADIR,EGILSSTADIR,ICELAND
BIHN,HORNAFJORDUR,HOFN,ICELAND
BIHU,HUSAVIK,HUSAVIK,ICELAND
BIIS,ISAFJORDUR,ISAFJORDUR,ICELAND
BIKF,KEFLAVIK,,ICELAND
BIKR,ALEXANDER,SAUDARKROKUR,ICELAND
BIRK,REYKJAVIK,REYKJAVIK,ICELAND
BISI,SIGLUFJORDUR,SIGLUFJORDUR,ICELAND
BITH,THORSHOFN,THORSHOFN,ICELAND
BIVM,VESTMANNAEYJAR,VESTMANNAEYJAR,ICELAND
BKPR,PRISTINA,,ALBANIA
BLI,BALIMO,BALIMO,PAPUA NEW GUINEA
BUK,BUKA,BUKA,PAPUA NEW GUINEA
BUO,BULOLO,BULOLO,PAPUA NEW GUINEA
CCXX,,,DENMARK
CDL,CANDLE NO 2,CANDLE,UNITED STATES
CHP,CIRCLE HOT SPRINGS,CIRCLE HOT SPRINGS,UNITED STATES
CIK,CHALKYITSIK,CHALKYITSIK,UNITED STATES
CPG,CAPE GLOUCESTER,CAPE GLOUCESTER,PAPUA NEW GUINEA
CYAC,CAT LAKE,CAT LAKE,CANADA
CYAG,FT FRANCES MUN,FT FRANCES,CANADA
CYAM,SAULT STE MARIE,SAULT STE MARIE,CANADA
CYAQ,KASABONIKA,KASABONIKA,CANADA
CYAT,ATTAWAPISKAT,ATTAWAPISKAT,CANADA
CYAZ,TOFINO,TOFINO,CANADA
CYBA,BANFF,BANFF,CANADA
CYBC,BAIE-COMEAU,BAIE-COMEAU,CANADA
CYBD,BELLA COOLA,BELLA COOLA,CANADA
CYBE,URANIUM CITY,URANIUM CITY,CANADA
CYBG,BAGOTVILLE,BAGOTVILLE,CANADA
CYBK,BAKER LAKE,BAKER LAKE,CANADA
CYBL,CAMPBELL RIVER,CAMPBELL RIVER,CANADA
CYBR,BRANDON,BRANDON,CANADA
CYBT,BROCHET,BROCHET,CANADA
CYCB,CAMBRIDGE BAY,CAMBRIDGE BAY,CANADA
CYCD,NANAIMO,NANAIMO,CANADA
CYCG,CASTLEGAR,CASTLEGAR,CANADA
CYCH,CHATHAM,CHATHAM,CANADA
