Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
04/04/2020,ADA,510,BJ,320,J,LRCV,2020-04-04 02:48:00,DTTA,2020-04-04 05:01:00,11571,0.800000011920929,13457,9000
04/04/2020,ADA,511,BJ,320,J,,2020-04-04 09:34:00,DTTA,2020-04-04 12:00:00,5803,0.796999990940094,8125,2500
05/04/2020,ADA,756,BJ,320,J,DTTA,2020-04-05 11:07:00,LFQQ,2020-04-05 13:39:00,8500,0.792999982833862,9241,3360
05/04/2020,ADA,757,BJ,320,J,LFQQ,2020-04-05 14:50:00,DTTA,2020-04-05 17:26:00,7157,0.800000011920929,9086,2600
30/07/2020,BTL,776,BJ,320,P,LIPQ,2020-07-30 09:40:00,DTTA,2020-07-30 11:25:00,3289,0.788999974727631,6455,2640
30/07/2020,BTL,777,BJ,320,J,LFST,2020-07-30 16:25:00,DTTA,2020-07-30 18:25:00,5318,0.787999987602234,9231,2860
05/07/2020,BUT,1492,BJ,320,P,HEBA,2020-07-05 17:10:00,DTMB,2020-07-05 20:13:00,5420,0.790000021457672,7702,2360
06/07/2020,BUT,7492,BJ,320,C,DTMB,2020-07-06 07:54:00,EPWA,2020-07-06 10:51:00,9300,0.777999997138977,9595,3660
06/07/2020,BUT,7493,BJ,320,C,EPWA,2020-07-06 12:42:00,DTMB,2020-07-06 15:54:00,7294,0.791999995708466,9437,3200
06/07/2020,BUT,7414,BJ,320,C,DTMB,2020-07-06 17:22:00,EPKT,2020-07-06 19:57:00,7200,0.77700001001358,8794,3300
06/07/2020,BUT,7415,BJ,320,C,EPKT,2020-07-06 20:40:00,DTMB,2020-07-06 23:22:00,6583,0.790000021457672,8501,3020
07/07/2020,BUT,7402,BJ,320,C,DTMB,2020-07-07 11:59:00,EPWR,2020-07-07 14:34:00,7250,0.778999984264374,8728,3200
07/07/2020,BUT,7403,BJ,320,C,EPWR,2020-07-07 15:40:00,DTMB,2020-07-07 18:18:00,6793,0.790000021457672,8566,2940
08/07/2020,BUT,7430,BJ,320,C,DTMB,2020-07-07 04:28:00,EPPO,2020-07-07 07:10:00,8100,0.781000018119812,9346,3820
08/07/2020,BUT,7431,BJ,320,C,EPPO,2020-07-07 08:00:00,DTMB,2020-07-07 10:52:00,6584,0.787000000476837,9002,3080
08/07/2020,BUT,1431,BJ,320,P,DTMB,2020-07-08 09:31:00,HEBA,2020-07-08 12:02:00,5900,0.781000018119812,7548,2900
26/06/2020,EAB,7633,BJ,320,C,EPKT,2020-06-26 21:10:00,DTTJ,2020-06-27 00:10:00,10709,0.787000000476837,11528,3800
27/06/2020,EAB,7654,BJ,320,C,DTTJ,2020-06-27 02:55:00,EPKT,2020-06-27 05:47:00,10160,0.779999971389771,11725,3840
09/06/2020,EAC,2022,BJ,320,J,DTTJ,2020-06-09 12:30:00,EDDL,2020-06-09 15:30:00,7800,0.785000026226044,13263,4960
09/06/2020,EAC,2023,BJ,320,J,EDDL,2020-06-09 16:45:00,DTTJ,2020-06-09 19:50:00,7494,0.805000007152557,10993,3320
10/06/2020,EAC,7614,BJ,320,C,DTTJ,2020-06-10 02:10:00,EPKT,2020-06-10 05:00:00,7600,0.785000026226044,9286,3200
10/06/2020,EAC,7615,BJ,320,C,EPKT,2020-06-10 06:05:00,DTTJ,2020-06-10 09:10:00,9686,0.791000008583069,10862,3300
10/06/2020,EAC,770,BJ,320,J,DTTJ,2020-06-10 14:45:00,LFBD,2020-06-10 17:15:00,8300,0.779999971389771,9774,4000
10/06/2020,EAC,771,BJ,320,J,LFBD,2020-06-10 18:45:00,DTTJ,2020-06-10 21:08:00,6647,0.800000011920929,9318,3300
11/06/2020,EAC,2306,BJ,320,C,DTTJ,2020-06-11 02:55:00,LOWW,2020-06-11 05:25:00,6460,0.785000026226044,8371,3120
11/06/2020,EAC,2307,BJ,320,C,LOWW,2020-06-11 06:40:00,DTTJ,2020-06-11 09:25:00,8804,0.778999984264374,9978,3920
11/06/2020,EAC,712,BJ,320,J,DTTJ,2020-06-11 10:25:00,LFST,2020-06-11 12:50:00,8250,0.785000026226044,10396,4400
11/06/2020,EAC,713,BJ,320,J,LFST,2020-06-11 14:00:00,DTTJ,2020-06-11 16:45:00,7050,0.800000011920929,10040,3160
13/06/2020,EAC,2340,BJ,320,C,DTTJ,2020-06-13 09:43:00,EDDL,2020-06-13 12:36:00,9558,0.782999992370605,10644,3280
13/06/2020,EAC,2341,BJ,320,C,EDDL,2020-06-13 14:11:00,DTTJ,2020-06-13 17:04:00,9038,0.805999994277954,10565,3200
14/06/2020,EAC,2608,BJ,320,J,DTTJ,2020-06-14 04:45:00,EDDF,2020-06-14 07:35:00,11680,0.785000026226044,12369,5500
14/06/2020,EAC,2609,BJ,320,J,EDDF,2020-06-14 09:30:00,DTTJ,2020-06-14 12:25:00,5901,0.800000011920929,10221,3300
14/06/2020,EAC,508,BJ,320,J,DTTJ,2020-06-14 13:58:00,,2020-06-14 16:49:00,9200,0.782999992370605,10504,3480
14/06/2020,EAC,509,BJ,320,J,,2020-06-14 17:51:00,DTTJ,2020-06-14 20:38:00,8282,0.791000008583069,10031,3420
15/06/2020,EAC,704,BJ,320,J,DTTJ,2020-06-15 04:55:00,LFRS,2020-06-15 07:55:00,9200,0.782999992370605,10624,4300
15/06/2020,EAC,705,BJ,320,J,LFRS,2020-06-15 08:40:00,DTTJ,2020-06-15 11:15:00,7157,0.796999990940094,10004,3700
15/06/2020,EAC,762,BJ,320,J,DTTJ,2020-06-15 12:55:00,LFQQ,2020-06-15 15:58:00,9335,0.782000005245209,11000,3860
15/06/2020,EAC,763,BJ,320,J,LFQQ,2020-06-15 17:00:00,DTTJ,2020-06-15 20:05:00,9015,0.800000011920929,11072,3680
16/06/2020,EAC,134,BJ,320,J,DTTJ,2020-06-16 08:50:00,LFSB,2020-06-16 11:20:00,7450,0.782000005245209,9506,3400
16/06/2020,EAC,135,BJ,320,J,LFSB,2020-06-16 12:25:00,DTTJ,2020-06-16 14:50:00,7546,0.800000011920929,9437,3500
16/06/2020,EAC,702,BJ,320,J,DTTJ,2020-06-16 16:10:00,,2020-06-16 19:00:00,9600,0.782999992370605,11017,4400
16/06/2020,EAC,703,BJ,320,J,,2020-06-16 20:10:00,DTTJ,2020-06-16 23:00:00,7612,0.800000011920929,10490,3500
17/06/2020,EAC,740,BJ,320,J,DTTJ,2020-06-17 03:45:00,LFBO,2020-06-17 06:10:00,6330,0.785000026226044,8469,3320
17/06/2020,EAC,741,BJ,320,J,LFBO,2020-06-17 07:10:00,DTTJ,2020-06-17 09:20:00,11265,0.788999974727631,12208,7268
