Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg)
14/05/2024,16:15:00,104,DTMB,DTMB,0.111,0.409,0.2,2.456,1.2,0.0,0,0.311,0,TankCapacityReached,,0.536,NBE,2.145,34,0.964
14/05/2024,16:15:00,104,DTMB,DTMB,0.111,0.409,0.2,2.456,1.2,0.0,0,0.311,0,TankCapacityReached,,0.536,NBE,2.145,34,0.964
15/07/2024,12:30:00,2022,DTTJ,EDDL,0.111,7.303,0.365,9.701,1.2,0.0,0,0.476,0,MaxLandingWeightReached,,0.722,MST,9.225,1171,1.476
17/09/2024,13:45:00,215,EDDL,DTMB,0.172,6.243,0.312,8.791,1.2,0.0,0,0.484,0,price,price,0.864,NBE,8.307,1018,1.5
28/09/2024,13:30:00,215,EDDL,DTMB,0.197,6.477,0.324,9.529,1.2,0.439,0,0.521,0,price,price,0.892,NBE,9.008,1026,1.615
06/10/2024,10:10:00,215,EDDL,DTMB,0.197,6.181,0.309,11.688,1.2,2.937,0,0.506,0,price,price,0.864,NBE,11.182,974,1.569
10/09/2024,13:45:00,2312,DTMB,EDDV,0.098,6.509,0.325,9.56,1.2,0.0,0,0.423,0,MaxLandingWeightReached,,1.428,HAM,9.137,1080,1.311
05/07/2024,10:15:00,2340,DTTJ,EDDL,0.111,6.548,0.327,8.91,1.2,0.0,0,0.438,0,MaxLandingWeightReached,,0.724,MST,8.472,1102,1.358
19/07/2024,14:25:00,2341,EDDL,DTTJ,0.197,7.019,0.351,10.471,1.2,0.0,0,0.548,0,MaxLandingWeightReached,,1.704,NBE,9.923,1127,1.699
30/06/2024,13:45:00,2598,DTMB,EDDV,0.098,5.954,0.298,8.928,1.2,0.0,0,0.396,0,MaxLandingWeightReached,,1.378,HAM,8.532,1014,1.228
08/09/2024,04:00:00,2636,DTMB,EDDV,0.098,6.565,0.328,9.628,1.2,0.0,0,0.426,0,MaxLandingWeightReached,,1.437,HAM,9.202,1036,1.321
15/09/2024,04:00:00,2636,DTMB,EDDV,0.098,6.97,0.349,10.109,1.2,0.0,0,0.447,0,MaxLandingWeightReached,,1.492,HAM,9.662,1110,1.386
21/05/2024,12:35:00,2637,EDDF,DTMB,0.271,6.124,0.306,11.188,1.2,2.346,0,0.577,0,price,price,0.941,NBE,10.611,962,1.789
28/06/2024,04:30:00,2806,DTTJ,EDDV,0.111,7.116,0.356,10.156,1.2,0.0,0,0.467,0,MaxLandingWeightReached,,1.373,HAM,9.689,1173,1.448
08/04/2024,14:00:00,362,DTMB,EBBR,0.111,5.792,0.29,8.34,1.2,0.0,0,0.401,0,MaxLandingWeightReached,,0.947,MST,7.939,1009,1.243
30/12/2024,13:00:00,234,DTTA,EDDF,0.113,5.439,0.272,8.317,1.2,0.0,0,0.385,0,MaxLandingWeightReached,,1.293,CGN,7.932,884,1.193
17/07/2024,13:30:00,246,DTTA,EDDF,0.113,5.264,0.263,8.103,1.2,0.0,0,0.376,0,MaxLandingWeightReached,,1.263,CGN,7.727,906,1.166
19/10/2024,13:30:00,362,DTMB,EBBR,0.098,6.295,0.315,8.911,1.2,0.0,0,0.413,0,MaxLandingWeightReached,,1.003,LGG,8.498,1013,1.28
08/04/2024,17:40:00,363,EBBR,DTMB,0.16,6.677,0.334,13.217,1.2,4.0,0,0.494,0,price,price,0.846,NBE,12.723,1058,1.531
19/10/2024,17:10:00,363,EBBR,DTMB,0.16,6.484,0.324,11.084,1.2,2.033,0,0.484,0,price,price,0.883,NBE,10.6,1027,1.5
22/06/2024,14:15:00,384,DTTJ,EBBR,0.111,7.003,0.35,9.626,1.2,0.0,0,0.461,0,MaxLandingWeightReached,,0.962,LIL,9.165,1193,1.429
27/04/2024,18:25:00,385,EBBR,DTTJ,0.16,6.983,0.349,10.203,1.2,0.0,0,0.509,0,MaxLandingWeightReached,,1.511,MIR,9.694,1124,1.578
18/05/2024,18:25:00,385,EBBR,DTTJ,0.16,7.128,0.356,15.644,1.2,5.298,0,0.516,0,price,price,1.502,NBE,15.128,1154,1.6
20/07/2024,18:25:00,385,EBBR,DTTJ,0.16,7.18,0.359,13.78,1.2,3.257,0,0.519,0,price,price,1.624,NBE,13.261,1132,1.609
17/08/2024,18:25:00,385,EBBR,DTTJ,0.16,6.113,0.306,9.299,1.2,0.0,0,0.466,0,price,price,1.52,NBE,8.833,1096,1.445
22/09/2024,08:35:00,511,LFPG,DTTA,0.185,5.859,0.293,12.294,1.2,3.945,0,0.478,0,price,price,0.812,NBE,11.816,920,1.482
01/11/2024,14:30:00,542,DTMB,LFPG,0.098,5.551,0.278,8.36,1.2,0.0,0,0.376,0,MaxLandingWeightReached,,1.233,ORY,7.984,874,1.166
17/10/2024,14:25:00,543,LFPG,DTMB,0.185,6.44,0.322,9.008,1.2,0.0,0,0.507,0,MaxLandingWeightReached,,0.861,NBE,8.501,1030,1.572
13/04/2024,08:05:00,569,LFPG,DTMB,0.185,5.871,0.294,8.402,1.2,0.0,0,0.479,0,MaxLandingWeightReached,,0.852,NBE,7.923,934,1.485
08/11/2024,14:30:00,598,DTTA,LFLL,0.111,4.121,0.206,6.752,1.2,0.0,0,0.317,0,MaxLandingWeightReached,,1.114,GVA,6.435,616,0.983
21/08/2024,02:30:00,702,DTTJ,LFPG,0.111,7.18,0.359,10.062,1.2,0.0,0,0.47,0,MaxLandingWeightReached,,1.212,ORY,9.592,1133,1.457
28/08/2024,02:25:00,7246,DTTJ,LJLJ,0.111,4.976,0.249,7.451,1.2,0.0,0,0.36,0,price,price,0.915,KLU,7.091,804,1.116
04/07/2024,08:15:00,7476,DTMB,EPPO,0.098,7.299,0.365,10.236,1.2,0.0,0,0.463,0,MaxLandingWeightReached,,1.274,WRO,9.773,1180,1.435
31/12/2024,10:55:00,763,LFQQ,DTTJ,0.111,6.671,0.334,9.213,1.2,0.0,0,0.445,0,TankCapacityReached,,0.897,SFA,8.768,1183,1.379
28/06/2024,06:50:00,7655,EPKT,DTTJ,0.123,6.841,0.342,10.087,1.2,0.0,0,0.465,0,MaxLandingWeightReached,,1.581,MIR,9.622,1104,1.441
08/11/2024,08:15:00,776,DTTA,LFST,0.111,4.934,0.247,7.822,1.2,0.0,0,0.358,0,price,price,1.33,STR,7.464,769,1.11
16/10/2024,14:00:00,TST,DTTA,LTFM,0.111,6.163,0.308,9.225,1.2,0.0,0,0.419,0,MaxLandingWeightReached,,1.443,TEQ,8.806,965,1.299
30/04/2024,16:00:00,001,DTMB,LFPG,0.113,5.591,0.28,8.433,1.2,0.0,0,0.393,0,MaxLandingWeightReached,,1.249,ORY,8.04,876,1.218
16/11/2024,06:00:00,166,DTTA,LFSB,0.113,4.774,0.239,7.78,1.2,0.0,0,0.352,0,MaxLandingWeightReached,,1.454,GVA,7.428,758,1.091
16/11/2024,09:10:00,167,LFSB,DTTA,0.138,4.348,0.217,6.663,1.2,0.0,0,0.355,0,MaxLandingWeightReached,,0.76,NBE,6.308,732,1.101
20/12/2024,05:25:00,184,DTTA,LSGG,0.113,4.199,0.21,7.029,1.2,0.0,0,0.323,0,price,price,1.307,LYS,6.706,707,1.001
11/12/2024,13:15:00,204,DTTA,EDDL,0.113,5.901,0.295,8.769,1.2,0.0,0,0.408,0,MaxLandingWeightReached,,1.26,CGN,8.361,958,1.265
27/10/2024,09:30:00,205,EDDL,DTTA,0.201,6.296,0.315,9.054,1.2,0.0,0,0.516,0,MaxLandingWeightReached,,1.042,NBE,8.538,1027,1.6
11/06/2024,13:45:00,2312,DTMB,EDDV,0.101,6.127,0.306,9.163,1.2,0.0,0,0.407,0,MaxLandingWeightReached,,1.429,HAM,8.756,1007,1.262
08/11/2024,17:35:00,233,EDDB,DTTA,0.189,6.278,0.314,8.791,1.2,0.0,0,0.503,0,MaxLandingWeightReached,,0.81,NBE,8.288,1019,1.559
11/12/2024,09:45:00,233,EDDB,DTTA,0.189,6.571,0.329,13.925,1.2,4.824,0,0.518,0,price,price,0.812,NBE,13.407,1025,1.606
21/12/2024,06:25:00,2608,DTTJ,EDDF,0.113,6.422,0.321,9.318,1.2,0.0,0,0.434,0,TankCapacityReached,,1.262,CGN,8.884,1148,1.345
12/11/2024,13:00:00,280,DTTA,EDDM,0.113,4.774,0.239,7.258,1.2,0.0,0,0.352,0,MaxLandingWeightReached,,0.932,NUE,6.906,754,1.091
27/09/2024,08:15:00,281,EDDM,DTTA,0.163,5.234,0.262,11.462,1.2,3.786,0,0.425,0,price,price,0.817,NBE,11.037,802,1.317
22/11/2024,12:20:00,281,EDDM,DTTA,0.163,4.735,0.237,13.471,1.2,6.377,0,0.4,0,price,price,0.759,NBE,13.071,742,1.24
07/09/2024,08:00:00,2825,EDDL,DTMB,0.201,6.304,0.315,8.942,1.2,0.0,0,0.516,0,MaxLandingWeightReached,,0.922,NBE,8.426,1041,1.6
26/07/2024,13:00:00,2872,DTTJ,EDDP,0.113,6.589,0.329,9.203,1.2,0.0,0,0.442,0,MaxLandingWeightReached,,0.972,ERF,8.761,1119,1.37
17/05/2024,09:10:00,2873,EDDV,EDDP,0.113,1.237,0.2,3.615,1.2,0.0,0,0.313,0,price,price,0.865,DRS,3.302,147,0.97
24/07/2024,20:15:00,4528,DTTA,LTAI,0.113,6.209,0.31,9.741,1.2,0.0,0,0.423,0,MaxLandingWeightReached,,1.909,BJV,9.318,985,1.311
02/12/2024,08:00:00,508,DTTJ,LFPG,0.113,6.901,0.345,9.818,1.2,0.0,0,0.458,0,MaxLandingWeightReached,,1.259,ORY,9.36,1089,1.42
13/10/2024,05:00:00,510,DTTA,LFPG,0.113,5.814,0.291,8.594,1.2,0.0,0,0.404,0,MaxLandingWeightReached,,1.176,ORY,8.19,949,1.252
19/11/2024,06:30:00,510,DTTA,LFPG,0.113,5.665,0.283,8.212,1.2,0.0,0,0.396,0,MaxLandingWeightReached,,0.951,ORY,7.816,902,1.228
26/09/2024,19:45:00,521,LFPG,DTTA,0.189,5.845,0.292,12.705,1.2,4.369,0,0.481,0,price,price,0.81,NBE,12.224,905,1.491
31/12/2024,06:30:00,542,DTMB,LFPG,0.101,5.983,0.299,9.191,1.2,0.0,0,0.4,0,MaxLandingWeightReached,,1.608,BRU,8.791,948,1.24
17/11/2024,06:15:00,598,DTTA,LFLL,0.113,4.116,0.206,7.391,1.2,0.0,0,0.319,0,MaxLandingWeightReached,,1.756,MRS,7.072,621,0.989
03/12/2024,14:00:00,598,DTTA,LFLL,0.113,4.292,0.215,6.941,1.2,0.0,0,0.328,0,MaxLandingWeightReached,,1.121,GVA,6.613,661,1.017
15/12/2024,14:25:00,635,LIMC,DTTA,0.201,3.711,0.2,6.1,1.2,0.0,0,0.401,0,MaxLandingWeightReached,,0.788,NBE,5.699,559,1.243
27/06/2024,06:30:00,7432,DTMB,EPKT,0.101,6.265,0.313,8.584,1.2,0.0,0,0.414,0,MaxLandingWeightReached,,0.705,KRK,8.17,1016,1.283
30/05/2024,06:20:00,7477,EPPO,DTMB,0.113,6.379,0.319,8.966,1.2,0.0,0,0.432,0,MaxLandingWeightReached,,0.955,NBE,8.534,1057,1.339
30/05/2024,13:55:00,7489,EPWA,DTMB,0.189,7.116,0.356,15.661,1.2,5.866,0,0.545,0,price,price,0.934,NBE,15.116,1123,1.689
15/06/2024,14:30:00,757,LFQQ,DTTA,0.113,6.11,0.306,8.562,1.2,0.0,0,0.419,0,MaxLandingWeightReached,,0.833,NBE,8.143,972,1.299
11/06/2024,06:30:00,7615,EPKT,DTTJ,0.113,7.386,0.369,10.56,1.2,0.0,0,0.482,0,MaxLandingWeightReached,,1.492,MIR,10.078,1207,1.494
09/09/2024,04:15:00,7679,EPLB,DTMB,0.189,7.621,0.381,10.276,1.2,0.0,0,0.57,0,MaxLandingWeightReached,,0.885,NBE,9.706,1248,1.767
09/12/2024,16:35:00,777,LFST,DTTA,0.138,4.962,0.248,7.337,1.2,0.0,0,0.386,0,MaxLandingWeightReached,,0.789,NBE,6.951,820,1.197
08/08/2024,19:35:00,845,EGKK,DTTA,0.189,6.491,0.325,11.245,1.2,2.217,0,0.514,0,price,price,0.823,NBE,10.731,1006,1.593
09/07/2024,13:10:00,131,DAAG,DTTA,0.126,2.763,0.2,5.127,1.2,0.0,0,0.326,0,MaxLandingWeightReached,,0.838,NBE,4.801,365,1.011
27/08/2024,13:45:00,215,EDDL,DTMB,0.201,6.246,0.312,8.821,1.2,0.0,0,0.513,0,MaxLandingWeightReached,,0.862,NBE,8.308,1040,1.59
08/10/2024,13:45:00,215,EDDL,DTMB,0.201,6.912,0.346,9.512,1.2,0.0,0,0.547,0,price,price,0.853,NBE,8.965,1145,1.696
11/10/2024,07:45:00,215,EDDL,DTMB,0.201,6.753,0.338,13.551,1.2,4.181,0,0.539,0,price,price,0.878,NBE,13.012,1041,1.671
26/10/2024,09:15:00,2334,EDDV,EDDH,0.151,1.49,0.2,4.322,1.2,0.0,0,0.351,0,MaxLandingWeightReached,,1.281,HAJ,3.971,165,1.088
27/09/2024,13:55:00,2341,EDDL,DTTJ,0.201,7.698,0.385,11.049,1.2,0.0,0,0.586,0,MaxLandingWeightReached,,1.565,MIR,10.463,1222,1.817
25/12/2024,07:00:00,234,DTTA,EDDF,0.113,5.884,0.294,8.758,1.2,0.0,0,0.407,0,MaxLandingWeightReached,,1.267,CGN,8.351,994,1.262
19/10/2024,08:30:00,2613,EDDS,DTMB,0.176,5.445,0.272,7.948,1.2,0.0,0,0.448,0,MaxLandingWeightReached,,0.855,NBE,7.5,892,1.389
09/11/2024,07:15:00,2640,DTTJ,EDDL,0.113,7.283,0.364,10.241,1.2,0.0,0,0.477,0,MaxLandingWeightReached,,1.281,CGN,9.764,1157,1.479
30/11/2024,11:25:00,2641,EDDL,DTTJ,0.201,6.268,0.313,9.536,1.2,0.0,0,0.514,0,MaxLandingWeightReached,,1.554,MIR,9.022,1059,1.593
01/12/2024,08:00:00,508,DTTJ,LFPG,0.113,7.319,0.366,10.623,1.2,0.0,0,0.479,0,MaxLandingWeightReached,,1.625,BRU,10.144,1150,1.485
02/12/2024,08:00:00,508,DTTJ,LFPG,0.113,6.988,0.349,9.923,1.2,0.0,0,0.462,0,MaxLandingWeightReached,,1.273,ORY,9.461,1089,1.432
15/10/2024,21:55:00,521,LFPG,DTTA,0.189,5.912,0.296,8.589,1.2,0.0,0,0.485,0,MaxLandingWeightReached,,0.992,NBE,8.104,927,1.504
29/09/2024,13:00:00,568,DTMB,LFPG,0.101,7.145,0.357,10.068,1.2,0.0,0,0.458,0,MaxLandingWeightReached,,1.265,ORY,9.61,1103,1.42
17/08/2024,17:40:00,6148,DTTJ,LPPT,0.113,7.582,0.379,10.617,1.2,0.0,0,0.492,0,MaxLandingWeightReached,,1.343,FAO,10.125,1208,1.525
13/08/2024,06:55:00,703,LFPG,DTTJ,0.189,7.074,0.354,12.56,1.2,2.707,0,0.543,0,price,price,1.036,SFA,12.017,1076,1.683
07/09/2024,10:20:00,723,LFRS,DTTA,0.126,5.325,0.266,7.94,1.2,0.0,0,0.392,0,MaxLandingWeightReached,,1.023,NBE,7.548,870,1.215
30/09/2024,14:00:00,7430,DTMB,EPPO,0.101,6.993,0.35,9.913,1.2,0.0,0,0.451,0,MaxLandingWeightReached,,1.269,WRO,9.462,1122,1.398
08/08/2024,05:55:00,7631,EPPO,DTTJ,0.113,7.634,0.382,10.852,1.2,0.0,0,0.495,0,MaxLandingWeightReached,,1.523,MIR,10.357,1235,1.535
