Date of Flight,Time of Departure,Flight Number,DepartureAirport,ArrivalAirport,TaxiFuel,TripFuel,ContingencyFuel,BlockFuel,FinalReserve,Additional Fuel (tonnes),Fuel for other safety rules (tonnes),Discretionary Fuel,Extra Fuel,Reason,Economic tankering category in the flight plan,AlternateFuel,Alternate Arrival Airport,FOB,Air Distance (NM),Carbon Emission (kg),Route,Date of operation (UTC),AC registration,Flight ID,ICAO Call sign,AC Type,Flight type,Departing Airport ICAO Code,Departure Time/ Block-off time (UTC),Destination Airport ICAO Code,Arrival Time/ Block-on Time(UTC),Uplift Volume (Litres),Uplift density,Block On (tonnes),Block Off (tonnes)
2024-05-14,16:15:00,104,DTMB,DTMB,0.111,0.409,0.2,2.456,1.2,0.0,0,0.311,0,TankCapacityReached,,0.536,NBE,2.145,34,0.964,DTMB -> DTMB,,,,,,,,,,,,,,
2024-05-14,16:15:00,104,DTMB,DTMB,0.111,0.409,0.2,2.456,1.2,0.0,0,0.311,0,TankCapacityReached,,0.536,NBE,2.145,34,0.964,DTMB -> DTMB,,,,,,,,,,,,,,
2024-07-15,12:30:00,2022,DTTJ,EDDL,0.111,7.303,0.365,9.701,1.2,0.0,0,0.476,0,MaxLandingWeightReached,,0.722,MST,9.225,1171,1.476,DTTJ -> EDDL,,,,,,,,,,,,,,
2024-09-17,13:45:00,215,EDDL,DTMB,0.172,6.243,0.312,8.791,1.2,0.0,0,0.484,0,price,price,0.864,NBE,8.307,1018,1.5,EDDL -> DTMB,,,,,,,,,,,,,,
2024-09-28,13:30:00,215,EDDL,DTMB,0.197,6.477,0.324,9.529,1.2,0.439,0,0.521,0,price,price,0.892,NBE,9.008,1026,1.615,EDDL -> DTMB,,,,,,,,,,,,,,
2024-10-06,10:10:00,215,EDDL,DTMB,0.197,6.181,0.309,11.688,1.2,2.937,0,0.506,0,price,price,0.864,NBE,11.182,974,1.569,EDDL -> DTMB,,,,,,,,,,,,,,
2024-09-10,13:45:00,2312,DTMB,EDDV,0.098,6.509,0.325,9.56,1.2,0.0,0,0.423,0,MaxLandingWeightReached,,1.428,HAM,9.137,1080,1.311,DTMB -> EDDV,,,,,,,,,,,,,,
2024-07-05,10:15:00,2340,DTTJ,EDDL,0.111,6.548,0.327,8.91,1.2,0.0,0,0.438,0,MaxLandingWeightReached,,0.724,MST,8.472,1102,1.358,DTTJ -> EDDL,,,,,,,,,,,,,,
2024-07-19,14:25:00,2341,EDDL,DTTJ,0.197,7.019,0.351,10.471,1.2,0.0,0,0.548,0,MaxLandingWeightReached,,1.704,NBE,9.923,1127,1.699,EDDL -> DTTJ,,,,,,,,,,,,,,
2024-06-30,13:45:00,2598,DTMB,EDDV,0.098,5.954,0.298,8.928,1.2,0.0,0,0.396,0,MaxLandingWeightReached,,1.378,HAM,8.532,1014,1.228,DTMB -> EDDV,,,,,,,,,,,,,,
2024-09-08,04:00:00,2636,DTMB,EDDV,0.098,6.565,0.328,9.628,1.2,0.0,0,0.426,0,MaxLandingWeightReached,,1.437,HAM,9.202,1036,1.321,DTMB -> EDDV,,,,,,,,,,,,,,
2024-09-15,04:00:00,2636,DTMB,EDDV,0.098,6.97,0.349,10.109,1.2,0.0,0,0.447,0,MaxLandingWeightReached,,1.492,HAM,9.662,1110,1.386,DTMB -> EDDV,,,,,,,,,,,,,,
2024-05-21,12:35:00,2637,EDDF,DTMB,0.271,6.124,0.306,11.188,1.2,2.346,0,0.577,0,price,price,0.941,NBE,10.611,962,1.789,EDDF -> DTMB,,,,,,,,,,,,,,
2024-06-28,04:30:00,2806,DTTJ,EDDV,0.111,7.116,0.356,10.156,1.2,0.0,0,0.467,0,MaxLandingWeightReached,,1.373,HAM,9.689,1173,1.448,DTTJ -> EDDV,,,,,,,,,,,,,,
2024-04-08,14:00:00,362,DTMB,EBBR,0.111,5.792,0.29,8.34,1.2,0.0,0,0.401,0,MaxLandingWeightReached,,0.947,MST,7.939,1009,1.243,DTMB -> EBBR,,,,,,,,,,,,,,
2024-12-30,13:00:00,234,DTTA,EDDF,0.113,5.439,0.272,8.317,1.2,0.0,0,0.385,0,MaxLandingWeightReached,,1.293,CGN,7.932,884,1.193,DTTA -> EDDF,,,,,,,,,,,,,,
2024-07-17,13:30:00,246,DTTA,EDDF,0.113,5.264,0.263,8.103,1.2,0.0,0,0.376,0,MaxLandingWeightReached,,1.263,CGN,7.727,906,1.166,DTTA -> EDDF,,,,,,,,,,,,,,
2024-10-19,13:30:00,362,DTMB,EBBR,0.098,6.295,0.315,8.911,1.2,0.0,0,0.413,0,MaxLandingWeightReached,,1.003,LGG,8.498,1013,1.28,DTMB -> EBBR,,,,,,,,,,,,,,
2024-04-08,17:40:00,363,EBBR,DTMB,0.16,6.677,0.334,13.217,1.2,4.0,0,0.494,0,price,price,0.846,NBE,12.723,1058,1.531,EBBR -> DTMB,,,,,,,,,,,,,,
2024-10-19,17:10:00,363,EBBR,DTMB,0.16,6.484,0.324,11.084,1.2,2.033,0,0.484,0,price,price,0.883,NBE,10.6,1027,1.5,EBBR -> DTMB,,,,,,,,,,,,,,
2024-06-22,14:15:00,384,DTTJ,EBBR,0.111,7.003,0.35,9.626,1.2,0.0,0,0.461,0,MaxLandingWeightReached,,0.962,LIL,9.165,1193,1.429,DTTJ -> EBBR,,,,,,,,,,,,,,
2024-04-27,18:25:00,385,EBBR,DTTJ,0.16,6.983,0.349,10.203,1.2,0.0,0,0.509,0,MaxLandingWeightReached,,1.511,MIR,9.694,1124,1.578,EBBR -> DTTJ,,,,,,,,,,,,,,
2024-05-18,18:25:00,385,EBBR,DTTJ,0.16,7.128,0.356,15.644,1.2,5.298,0,0.516,0,price,price,1.502,NBE,15.128,1154,1.6,EBBR -> DTTJ,,,,,,,,,,,,,,
2024-07-20,18:25:00,385,EBBR,DTTJ,0.16,7.18,0.359,13.78,1.2,3.257,0,0.519,0,price,price,1.624,NBE,13.261,1132,1.609,EBBR -> DTTJ,,,,,,,,,,,,,,
2024-08-17,18:25:00,385,EBBR,DTTJ,0.16,6.113,0.306,9.299,1.2,0.0,0,0.466,0,price,price,1.52,NBE,8.833,1096,1.445,EBBR -> DTTJ,,,,,,,,,,,,,,
2024-09-22,08:35:00,511,LFPG,DTTA,0.185,5.859,0.293,12.294,1.2,3.945,0,0.478,0,price,price,0.812,NBE,11.816,920,1.482,LFPG -> DTTA,,,,,,,,,,,,,,
2024-11-01,14:30:00,542,DTMB,LFPG,0.098,5.551,0.278,8.36,1.2,0.0,0,0.376,0,MaxLandingWeightReached,,1.233,ORY,7.984,874,1.166,DTMB -> LFPG,,,,,,,,,,,,,,
2024-10-17,14:25:00,543,LFPG,DTMB,0.185,6.44,0.322,9.008,1.2,0.0,0,0.507,0,MaxLandingWeightReached,,0.861,NBE,8.501,1030,1.572,LFPG -> DTMB,,,,,,,,,,,,,,
2024-04-13,08:05:00,569,LFPG,DTMB,0.185,5.871,0.294,8.402,1.2,0.0,0,0.479,0,MaxLandingWeightReached,,0.852,NBE,7.923,934,1.485,LFPG -> DTMB,,,,,,,,,,,,,,
2024-11-08,14:30:00,598,DTTA,LFLL,0.111,4.121,0.206,6.752,1.2,0.0,0,0.317,0,MaxLandingWeightReached,,1.114,GVA,6.435,616,0.983,DTTA -> LFLL,,,,,,,,,,,,,,
2024-08-21,02:30:00,702,DTTJ,LFPG,0.111,7.18,0.359,10.062,1.2,0.0,0,0.47,0,MaxLandingWeightReached,,1.212,ORY,9.592,1133,1.457,DTTJ -> LFPG,,,,,,,,,,,,,,
2024-08-28,02:25:00,7246,DTTJ,LJLJ,0.111,4.976,0.249,7.451,1.2,0.0,0,0.36,0,price,price,0.915,KLU,7.091,804,1.116,DTTJ -> LJLJ,,,,,,,,,,,,,,
2024-07-04,08:15:00,7476,DTMB,EPPO,0.098,7.299,0.365,10.236,1.2,0.0,0,0.463,0,MaxLandingWeightReached,,1.274,WRO,9.773,1180,1.435,DTMB -> EPPO,,,,,,,,,,,,,,
2024-12-31,10:55:00,763,LFQQ,DTTJ,0.111,6.671,0.334,9.213,1.2,0.0,0,0.445,0,TankCapacityReached,,0.897,SFA,8.768,1183,1.379,LFQQ -> DTTJ,,,,,,,,,,,,,,
2024-06-28,06:50:00,7655,EPKT,DTTJ,0.123,6.841,0.342,10.087,1.2,0.0,0,0.465,0,MaxLandingWeightReached,,1.581,MIR,9.622,1104,1.441,EPKT -> DTTJ,,,,,,,,,,,,,,
2024-11-08,08:15:00,776,DTTA,LFST,0.111,4.934,0.247,7.822,1.2,0.0,0,0.358,0,price,price,1.33,STR,7.464,769,1.11,DTTA -> LFST,,,,,,,,,,,,,,
2024-10-16,14:00:00,TST,DTTA,LTFM,0.111,6.163,0.308,9.225,1.2,0.0,0,0.419,0,MaxLandingWeightReached,,1.443,TEQ,8.806,965,1.299,DTTA -> LTFM,,,,,,,,,,,,,,
